Symbol,returns,volatility
DALBHARAT,0.21220499971028708,-0.336186886109375
DBCORP,-1.6718377864057907,-0.4786416032719796
DBL,-0.5679945904114517,0.9875115768505263
DCBBANK,-1.6230365200114607,-0.09218266084759899
DCMSHRIRAM,1.4877695239460256,0.8102379961508782
DEEPAKNTR,3.087601078305598,0.2714081705152106
DELTACORP,-0.22401969917228054,0.7750945648734229
DEN,-0.8748215699477476,1.5663131935976802
DHANUKA,0.22741891928999627,-0.31421591026174867
DIAMONDYD,-1.0557342312334468,-0.8448556323448525
DIVISLAB,0.7917492236395766,-1.2661637794580831
DIXON,1.8338602333851708,1.898175542432189
DLF,0.7540759719786998,0.4385734068367922
DMART,0.7268671488906288,-1.1110229708399328
DRREDDY,-0.025524241774466213,-1.4653758786380902
ECLERX,0.8455921357760771,0.9156443313440914
